Date,Platform,Product_Category,Model_Name,Condition,Launch_Price_USD,Launch_Price_INR,Current_Price_USD,Current_Price_INR,Discount_Pct,Sale_Event,Stock_Status,Rating,Reviews_Count
19-09-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,435.81,43322.41,-1.6,,In Stock,4.7,40
20-09-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,436.49,42320.43,-1.7,,Out of Stock,4.6,84
23-09-2020,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,422.73,40879.36,1.5,,In Stock,4.4,110
23-09-2020,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,425,42008.7,0.9,,In Stock,4.8,111
24-09-2020,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,436.22,41984.28,-1.7,,In Stock,4.7,35
26-09-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,436.29,43149.46,-1.7,,In Stock,4.7,45
27-09-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,433.06,42587.59,-0.9,,In Stock,4.8,60
29-09-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,312.11,26276.64,27.2,,In Stock,4.4,146
01-10-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,323.84,31855.01,24.5,Big Billion Days,In Stock,4.7,95
01-10-2020,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,390.51,38757.36,9,Great Indian Festival,In Stock,4.9,133
01-10-2020,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,385.37,37753.37,10.2,Great Indian Festival,In Stock,4.5,57
01-10-2020,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,274.88,23070.56,35.9,Great Indian Festival,In Stock,4.5,99
02-10-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,348.7,34771.74,18.7,Big Billion Days,In Stock,4.6,71
03-10-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,324.8,32134.64,24.3,Big Billion Days,In Stock,4.9,62
04-10-2020,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,265.1,22614.35,38.2,Great Indian Festival,Low Stock,4.4,112
06-10-2020,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,348.69,33665.07,18.7,Great Indian Festival,Out of Stock,4.4,127
06-10-2020,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,380.46,36957.63,11.3,Great Indian Festival,In Stock,4.6,112
06-10-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,354.95,34964.38,17.3,Big Billion Days,In Stock,4.7,176
07-10-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,348.33,34539.69,18.8,Big Billion Days,In Stock,4.7,140
07-10-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,308.34,25820.76,28.1,Big Billion Days,Out of Stock,4,157
08-10-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,351.25,34046.78,18.1,Big Billion Days,Out of Stock,4.2,163
08-10-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,338.18,33386.67,21.2,Big Billion Days,Low Stock,4.6,160
09-10-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,373.25,36495.14,13,Big Billion Days,In Stock,4.6,44
11-10-2020,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,370.68,36046.07,13.6,Great Indian Festival,In Stock,4.8,97
11-10-2020,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,340.08,33597.58,20.7,Great Indian Festival,In Stock,4.5,102
14-10-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,328.53,32762.66,23.4,Big Billion Days,Out of Stock,4.3,156
14-10-2020,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,287.87,24767.07,32.9,Big Billion Days,Out of Stock,3.9,225
